id,code_table,short_code,long_value,description,print_name,parent_id
1,technology,java,Java,Java,Java,
2,technology,xml,XML,XML,XML,
3,technology,xslt,XSLT,XSLT,XSLT,
4,technology,ant,ANT,ANT,ANT,
5,technology,word,MS Word,Microsoft Work,MS Word,
6,technology,excel,MS Excel,Microsoft Excel,MS Excel,
7,technology,access,MS Access,Microsoft Access,MS Access,
8,technology,vb,MS VisualBasic,Microsoft VisualBasic,MS VisualBasic,
9,technology,visio,MS Visio,Microsoft Visio,MS Visio,
10,technology,c#,MS C-Sharp,Microsoft C-Sharp,MS C-Sharp,
11,technology,cf,Cold Fusion,Cold Fusion,Cold Fusion,
12,technology,web,Web Delivered,Application runs on a web server,Web Delivered,
13,technology,alone,Stand-Alone,Application runs locally,Stand-Alone,
14,technology,js,JavaScript,JavaScript (ECMA Script),JavaScript,
15,technology,sql-serv,MS SQL Server,Microsoft SQL Server,MS SQL Server,
16,technology,rdb,Relational DB,Relational Database,Relational D/B,
17,technology,delphi,Delphi,Delphi,Delphi,
18,technology,php,PHP,PHP,PHP,
19,technology,ea,Enterprise Architect,Enterprise Architect,Enterprise Architect,
20,technology,mw,MediaWiki,MediaWiki,MediaWiki,
21,technology,md,Markdown,Markdown,Markdown,
22,technology,ror,Ruby on Rails,Ruby on Rails,Ruby on Rails,
23,technology,django,Python Django,Python Django,Python Django,
24,technology,ruby,Ruby,Ruby,Ruby,
25,technology,python,Python,Python,Python,
26,technology,mif,MIF,Model Interchange Format (XML),Model Interchange Format,
27,technology,s-tron,Schematron,Schematron,Schematron,
28,technology,max,MAX,MAX XML interchange format,MAX Format,
29,technology,oauth,OAuth,OAuth,OAuth,
30,technology,drupal,PHP Drupal,PHP Drupal,PHP Drupal,
31,technology,fop,FOP,Apache FOP,Apache FOP,
32,technology,pdf,PDF,PDF (Portable Document Format),PDF,
33,technology,saas,Software as a Service,Software as a Service (such as Project Insight),SaaS,
34,technology,uml,UML,Unified Modeling Language,UML,
35,technology,c++,C++,C++,C++,
36,technology,xmi,XMI,XMI,XMI,
37,technology,ppt,PowerPoint,PowerPoint,PowerPoint,
38,technology,video,Video Content,"Various Video Content (wmv,m4v,avi)",Video Content,
39,technology,txt,Text,Text Content,Plain Text,
40,technology,xquery,XQuery,XQuery,XQuery,
41,technology,xforms,XForms,XForms,XForms,
42,technology,mobile,Mobile,Mobile Application,Mobile App,
43,technology,ios,iOS,Tool runs on iOS,iOS,
44,technology,android,Android,Tool runs on Android,Android,
45,technology,windows,MS Windows,Tool runs on MicroSoft Windows,MS Windows,
46,technology,macos,macOS,Tool runs on Apple Mac OS,Apple macOS,
47,technology,linux,Linux,Tool runs on Linux OS variant,Linux,
48,technology,eclipse,Eclipse,Tool is build on top of Eclipse,Eclipse,
49,technology,github,GitHub,Tool makes use of GitHub for storage and services,GitHub,
60,work-grp,AP,Anatomic Pathology,Anatomic Pathology,Anatomic Pathology,
61,work-grp,Anesthesia,Anesthesia,Anesthesia,Anesthesia,
62,work-grp,AID,AID,Application Implementation and Design,AID (Application Implementation and Design),
63,work-grp,Arden,Arden Syntax,Arden Syntax,Arden Syntax,
64,work-grp,Attach,Attachments,Attachments,Attachments,
65,work-grp,Child Health,Child Health,Child Health,Child Health,
66,work-grp,CDS,Clinical Decision Support,Clinical Decision Support,Clinical Decision Support,
67,work-grp,CG,Clinical Genomics,Clinical Genomics,Clinical Genomics,
68,work-grp,CQI,CQI,Clinical Quality Information,CQI (Clinical Quality Information),
69,work-grp,CS,Clinical Statement,Clinical Statement,Clinical Statement,
70,work-grp,CBCC,CBCC,Community Based Collaborative Care,CBCC (Community Based Collaborative Care),
71,work-grp,CGIT,CGIT,Conformance & Guidance for Implementation/Testing,CGIT (Conformance & Guidance for Impl/Testing),
72,work-grp,Education,Education,Education,Education,
73,work-grp,EHR,EHR,Electronic Health Records,EHR (Electronic Health Records),
74,work-grp,EST,EST,Electronic Services and Tools,EST (Electronic Services and Tools),
75,work-grp,EC,Emergency Care,Emergency Care,Emergency Care,
76,work-grp,FM,Financial Management,Financial Management,FM (Financial Management),
77,work-grp,Devices,Health Care Devices,Health Care Devices,Health Care Devices,
78,work-grp,II,Imaging Integration,Imaging Integration,Imaging Integration (II),
79,work-grp,ITS,ITS,Implementable Technology Specifications,ITS (Implementable Technology Specifications),
